,Experiment name:,Sample experiment
Duration:,5 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,BPM,Arb
Units:,BPM,Arb
Time
'0:0:38.95,81,1679
'0:0:39.0,81,1676
'0:0:39.05,81,1674
'0:0:39.1,81,1672
'0:0:39.15,81,1669
'0:0:39.2,81,1664
'0:0:39.25,81,1661
'0:0:39.3,81,1659
'0:0:39.35,81,1659
'0:0:39.4,81,1658
'0:0:39.45,81,1656
'0:0:39.5,81,1654
'0:0:39.55,81,1653
'0:0:39.6,81,1651
'0:0:39.65,81,1650
'0:0:39.7,81,1649
'0:0:39.75,81,1648
'0:0:39.8,81,1645
'0:0:39.85,81,1643
'0:0:39.9,81,1640
'0:0:39.95,81,1636
'0:0:40.0,81,1633
'0:0:40.05,81,1635
'0:0:40.1,81,1640
'0:0:40.15,81,1646
'0:0:40.2,81,1653
'0:0:40.25,81,1659
'0:0:40.3,81,1665
'0:0:40.35,81,1672
'0:0:40.4,81,1680
'0:0:40.45,81,1688
'0:0:40.5,81,1696
'0:0:40.55,81,1704
'0:0:40.6,81,1712
'0:0:40.65,80,1719
'0:0:40.7,80,1726
'0:0:40.75,80,1734
'0:0:40.8,80,1744
'0:0:40.85,80,1753
'0:0:40.9,80,1760
'0:0:40.95,80,1766
'0:0:41.0,80,1770
'0:0:41.05,80,1772
'0:0:41.1,80,1770
'0:0:41.15,80,1765
'0:0:41.2,80,1758
'0:0:41.25,80,1751
'0:0:41.3,80,1744
'0:0:41.35,80,1739
'0:0:41.4,80,1732
'0:0:41.45,80,1728
'0:0:41.5,80,1725
'0:0:41.55,80,1723
'0:0:41.6,80,1719
'0:0:41.65,80,1714
'0:0:41.7,80,1710
'0:0:41.75,80,1706
'0:0:41.8,80,1702
'0:0:41.85,80,1697
'0:0:41.9,80,1694
'0:0:41.95,80,1690
'0:0:42.0,80,1684
'0:0:42.05,81,1679
'0:0:42.1,81,1676
'0:0:42.15,81,1675
'0:0:42.2,81,1675
'0:0:42.25,81,1674
'0:0:42.3,81,1672
'0:0:42.35,81,1670
'0:0:42.4,81,1668
'0:0:42.45,81,1667
'0:0:42.5,81,1665
'0:0:42.55,81,1663
'0:0:42.6,81,1661
'0:0:42.65,81,1659
'0:0:42.7,83,1655
'0:0:42.75,83,1652
'0:0:42.8,83,1650
'0:0:42.85,83,1651
'0:0:42.9,83,1652
'0:0:42.95,83,1652
'0:0:43.0,83,1650
'0:0:43.05,83,1649
'0:0:43.1,83,1648
'0:0:43.15,83,1646
'0:0:43.2,83,1645
'0:0:43.25,83,1644
'0:0:43.3,83,1643
'0:0:43.35,83,1645
'0:0:43.4,83,1648
'0:0:43.45,84,1653
'0:0:43.5,84,1661
'0:0:43.55,84,1669
'0:0:43.6,84,1679
'0:0:43.65,84,1687
'0:0:43.7,84,1696
'0:0:43.75,84,1704
'0:0:43.8,84,1713
'0:0:43.85,84,1721
'0:0:43.9,84,1730
'0:0:43.95,84,1736
'0:0:44.0,84,1743
'0:0:44.05,84,1749
'0:0:44.1,84,1753
'0:0:44.15,84,1757
'0:0:44.2,84,1762
'0:0:44.25,84,1770
'0:0:44.3,84,1778
'0:0:44.35,84,1783
'0:0:44.4,84,1784
'0:0:44.45,84,1781
'0:0:44.5,84,1775
'0:0:44.55,84,1770
'0:0:44.6,84,1763
'0:0:44.65,84,1757
'0:0:44.7,84,1751
'0:0:44.75,84,1746
'0:0:44.8,84,1739
'0:0:44.85,84,1734
'0:0:44.9,84,1730
'0:0:44.95,84,1729
'0:0:45.0,84,1728
'0:0:45.05,84,1725
'0:0:45.1,84,1721
'0:0:45.15,84,1716
'0:0:45.2,84,1713
'0:0:45.25,84,1710
'0:0:45.3,84,1707
'0:0:45.35,84,1704
'0:0:45.4,84,1703
'0:0:45.45,84,1699
'0:0:45.5,86,1694
'0:0:45.55,86,1690
'0:0:45.6,86,1687
'0:0:45.65,86,1686
'0:0:45.7,86,1685
'0:0:45.75,86,1682
'0:0:45.8,86,1679
'0:0:45.85,86,1676
'0:0:45.9,86,1674
'0:0:45.95,86,1672
'0:0:46.0,86,1670
'0:0:46.05,86,1668
'0:0:46.1,86,1665
'0:0:46.15,86,1661
'0:0:46.2,86,1656
'0:0:46.25,86,1654
'0:0:46.3,86,1653
'0:0:46.35,86,1652
'0:0:46.4,86,1650
'0:0:46.45,86,1648
'0:0:46.5,86,1646
'0:0:46.55,86,1644
'0:0:46.6,86,1644
'0:0:46.65,86,1644
'0:0:46.7,86,1644
'0:0:46.75,86,1644
'0:0:46.8,86,1646
'0:0:46.85,86,1650
'0:0:46.9,86,1654
'0:0:46.95,86,1660
'0:0:47.0,86,1669
'0:0:47.05,86,1678
'0:0:47.1,86,1688
'0:0:47.15,86,1698
'0:0:47.2,86,1708
'0:0:47.25,86,1716
'0:0:47.3,86,1725
'0:0:47.35,86,1734
'0:0:47.4,86,1742
'0:0:47.45,86,1749
'0:0:47.5,86,1756
'0:0:47.55,86,1764
'0:0:47.6,86,1772
'0:0:47.65,85,1777
'0:0:47.7,85,1782
'0:0:47.75,85,1784
'0:0:47.8,85,1782
